Entity Name,Reporting Company,Payment Type,Start Date,End Date,Federal Government,Tribal Governments,State,Value (USD),Notes,
State of Alaska,BP P.L.C.,Fees,01-01-2016,12-31-2016,N,,Alaska,300282,NA,
State of Alaska,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,Alaska,37261461,1070067 bbl - crude oil at Valued per the Royalty Settlement Agreement.,
State of Alaska,BP P.L.C.,Taxes,01-01-2016,12-31-2016,N,,Alaska,69428844,NA,
State of Alaska,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,Alaska,174089734,NA,
State of Arkansas,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,Arkansas,376550,NA,
State of Arkansas,BP P.L.C.,Taxes,01-01-2016,12-31-2016,N,,Arkansas,514568,NA,
California State Controller'S Office,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,California,167016,NA,
Southern Ute Indian Tribe,BP P.L.C.,Fees,01-01-2016,12-31-2016,N,Southern Ute Indian Tribe,Colorado,212029,NA,
Southern Ute Indian Tribe,BP P.L.C.,Taxes,01-01-2016,12-31-2016,N,Southern Ute Indian Tribe,Colorado,5204313,NA,
Southern Ute Indian Tribe,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,Southern Ute Indian Tribe,Colorado,16045226,NA,
Southern Ute Indian Tribe,BP P.L.C.,Production entitlements,01-01-2016,12-31-2016,N,Southern Ute Indian Tribe,Colorado,31955077,16936164 mmbtu - gas at Valued on the basis of gas prices realized in the area,
State of Colorado,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,Colorado,906878,NA,
State of Colorado,BP P.L.C.,Taxes,01-01-2016,12-31-2016,N,,Colorado,1355126,NA,
Delaware Division Of Revenue,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,Delaware,4874981,NA,
Bureau of Land Management,BP P.L.C.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,127343,NA,
Federal Government,BP P.L.C.,Taxes,01-01-2016,12-31-2016,Y,,District of Columbia,-285385056,NA,
Office of Natural Resources Revenue,BP P.L.C.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,10274278,NA,
Office of Natural Resources Revenue,BP P.L.C.,Bonuses,01-01-2016,12-31-2016,Y,,District of Columbia,28025616,NA,
Office of Natural Resources Revenue,BP P.L.C.,Royalties,01-01-2016,12-31-2016,Y,,District of Columbia,358963240,NA,
Office of Natural Resources Revenue - BIA,BP P.L.C.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,781205,NA,
Office of Natural Resources Revenue - BIA,BP P.L.C.,Royalties,01-01-2016,12-31-2016,Y,,District of Columbia,1106855,NA,
Florida Department of Financial Services,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,Florida,129510,NA,
State of Indiana,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,Indiana,138432,NA,
Kansas Holder Services,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,Kansas,143394,NA,
State of Louisiana,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,Lousiana,255163,NA,
State of Louisiana,BP P.L.C.,Taxes,01-01-2016,12-31-2016,N,,Lousiana,8681235,NA,
Montana State Department of Revenue,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,Montana,165833,NA,
New Jersey State Treasury,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,New Jersey,115735,NA,
State of New Mexico,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,New Mexico,1877594,NA,
State of New Mexico,BP P.L.C.,Taxes,01-01-2016,12-31-2016,N,,New Mexico,11876631,NA,
State of Oklahoma,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,Oklahoma,1865637,NA,
State of Oklahoma,BP P.L.C.,Taxes,01-01-2016,12-31-2016,N,,Oklahoma,2574540,NA,
State of Texas,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,Texas,2955969,NA,
State of Texas,BP P.L.C.,Taxes,01-01-2016,12-31-2016,N,,Texas,4745554,NA,
Washington Department of Revenue,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,Washington,349356,NA,
State of Wyoming,BP P.L.C.,Royalties,01-01-2016,12-31-2016,N,,Wyoming,831455,NA,
State of Wyoming,BP P.L.C.,Taxes,01-01-2016,12-31-2016,N,,Wyoming,13336343,NA,
Government of the United States,Cameco Corporation,Royalties,01-01-2016,12-31-2016,Y,,District of Columbia,75448,"Bureau of Land Management, Tennessee Valley Authority, United States Nuclear Regulatory Commission. Transaction occurred in USD$, converted to CAD$ at the exchange rate existing at time of payment $1.32)",
Government of the United States,Cameco Corporation,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,2422665,"Bureau of Land Management, Tennessee Valley Authority, United States Nuclear Regulatory Commission. Transaction occurred in USD$, converted to CAD$ at the exchange rate existing at time of payment $1.32)",
Dawes County,Cameco Corporation,Taxes,01-01-2016,12-31-2016,N,,Nebraska,424777,"Transaction occurred in USD$, converted to CAD$ at the weighted average of exchange rates during the year ($1.37)",
Government of Nebraska,Cameco Corporation,Fees,01-01-2016,12-31-2016,N,,Nebraska,146370,"Department of Environmental Quality Transaction occurred in USD$, converted to CAD$ at the exchange rate existing at time of payment ($1.35)",
Campbell County,Cameco Corporation,Taxes,01-01-2016,12-31-2016,N,,Wyoming,780142,"Transaction occurred in USD$, converted to CAD$ at the exchange rate existing at time of payment ($1.31)",
Converse County,Cameco Corporation,Taxes,01-01-2016,12-31-2016,N,,Wyoming,2261959,"Transaction occurred in USD$, converted to CAD$ at the exchange rate existing at time of payment ($1.31)",
Government of Wyoming,Cameco Corporation,Fees,01-01-2016,12-31-2016,N,,Wyoming,263316,"Transaction occurred in USD$, converted to CAD$ at the exchange rate existing at time of payment ($1.31)",
Government of Wyoming,Cameco Corporation,Royalties,01-01-2016,12-31-2016,N,,Wyoming,774860,"Transaction occurred in USD$, converted to CAD$ at the exchange rate existing at time of payment ($1.31)",
GOVERNMENT OF ARIZONA,Capstone Mining Corp.,Fees,01-01-2016,12-31-2016,N,,Arizona,251244,"WITHIN THE CATEGORY, TAXES, ARE PROPERTY TAXES AND INCOME TAXES.",
GOVERNMENT OF ARIZONA,Capstone Mining Corp.,Taxes,01-01-2016,12-31-2016,N,,Arizona,6176250,"WITHIN THE CATEGORY, TAXES, ARE PROPERTY TAXES AND INCOME TAXES.",
FEDERAL GOVERNMENT OF USA,Capstone Mining Corp.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,69413,NA,
FEDERAL GOVERNMENT OF USA,Capstone Mining Corp.,Taxes,01-01-2016,12-31-2016,Y,,District of Columbia,189376,NA,
Bureau of Safety and Environmental Enforcement,CNOOC Limited,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,86789,NA,
Bureau of Ocean Energy Management (BOEM),CNOOC Limited,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,25177,NA,
Minerals Management Service,CNOOC Limited,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,4162,NA,
Minerals Management Service,CNOOC Limited,Royalties,01-01-2016,12-31-2016,Y,,District of Columbia,4424726,NA,
Office of Natural Resources Revenue,CNOOC Limited,Royalties,01-01-2016,12-31-2016,Y,,District of Columbia,8799,NA,
Office of Natural Resources Revenue,CNOOC Limited,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,1595309,NA,
US Coast Guard,CNOOC Limited,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,1354,NA,
US Department of Commerce-NOAA,CNOOC Limited,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,12608,NA,
US Department of the Interior,CNOOC Limited,Royalties,01-01-2016,12-31-2016,Y,,District of Columbia,43134,NA,
State of Texas,CNOOC Limited,Taxes,01-01-2016,12-31-2016,N,,Texas,21220629,Severance and Property Taxes,
Texas State Tax Commission,CNOOC Limited,Taxes,01-01-2016,12-31-2016,N,,Texas,101,NA,
University of Houston Systems,CNOOC Limited,Fees,01-01-2016,12-31-2016,N,,Texas,79878,NA,
State of Wyoming,CNOOC Limited,Taxes,01-01-2016,12-31-2016,N,,Wyoming,3852823,Severance and Property Taxes,
"City of Juneau, Alaska","Coeur Mining, Inc.",Fees,01-01-2016,12-31-2016,N,,Alaska,20000,Amounts reported in United States Dollar,
"City of Juneau, Alaska","Coeur Mining, Inc.",Taxes,01-01-2016,12-31-2016,N,,Alaska,1410000,Amounts reported in United States Dollar,
State of Alaska,"Coeur Mining, Inc.",Fees,01-01-2016,12-31-2016,N,,Alaska,210000,Amounts reported in United States Dollar,
State of Delaware,"Coeur Mining, Inc.",Taxes,01-01-2016,12-31-2016,N,,Delaware,210000,Amounts reported in United States Dollar,
Bureau of Land Management,"Coeur Mining, Inc.",Fees,01-01-2016,12-31-2016,Y,,District of Columbia,150000,Amounts reported in United States Dollar,
U.S. Government,"Coeur Mining, Inc.",Fees,01-01-2016,12-31-2016,Y,,District of Columbia,210000,Amounts reported in United States Dollar,
State of Illinois,"Coeur Mining, Inc.",Taxes,01-01-2016,12-31-2016,N,,Illinois,300000,Amounts reported in United States Dollar,
"Pershing County, Nevada","Coeur Mining, Inc.",Fees,01-01-2016,12-31-2016,N,,Nevada,20000,Amounts reported in United States Dollar,
"Pershing County, Nevada","Coeur Mining, Inc.",Taxes,01-01-2016,12-31-2016,N,,Nevada,920000,Amounts reported in United States Dollar,
State of Nevada,"Coeur Mining, Inc.",Fees,01-01-2016,12-31-2016,N,,Nevada,90000,Amounts reported in United States Dollar,
State of Nevada,"Coeur Mining, Inc.",Taxes,01-01-2016,12-31-2016,N,,Nevada,1850000,Amounts reported in United States Dollar,
"Lawrence County, South Dakota","Coeur Mining, Inc.",Taxes,01-01-2016,12-31-2016,N,,South Dakota,540000,Amounts reported in United States Dollar,
State of South Dakota,"Coeur Mining, Inc.",Fees,01-01-2016,12-31-2016,N,,South Dakota,60000,Amounts reported in United States Dollar,
State of South Dakota,"Coeur Mining, Inc.",Taxes,01-01-2016,12-31-2016,N,,South Dakota,7300000,Amounts reported in United States Dollar,
Bureau of Land Management,Coral Gold Resources Ltd.,Fees,02-01-2016,01-31-2017,Y,,District of Columbia,105628,"Permits, Licenses, Fees",
FEDERAL GOVERNMENT OF THE USA,Crescent Point Energy Corp.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,347065,"USD converted to Canadian equivalent at the December 31, 2016 rate of 1.3427. Payee includes Bureau of Land Management, Office of Natural Resources Revenue",
FEDERAL GOVERNMENT OF THE USA,Crescent Point Energy Corp.,Royalties,01-01-2016,12-31-2016,Y,,District of Columbia,686585,"USD converted to Canadian equivalent at the December 31, 2016 rate of 1.3427. Payee includes Bureau of Land Management, Office of Natural Resources Revenue",
STATE OF NORTH DAKOTA,Crescent Point Energy Corp.,Royalties,01-01-2016,12-31-2016,N,,North Dakota,867662,"USD converted to Canadian equivalent at the December 31, 2016 rate of 1.3427. Payee includes ND Department of Trust Land",
DUSCHESNE COUNTY,Crescent Point Energy Corp.,Taxes,01-01-2016,12-31-2016,N,,Utah,158442,"USD converted to Canadian equivalent at the December 31, 2016 rate of 1.3427.",
STATE OF UTAH,Crescent Point Energy Corp.,Fees,01-01-2016,12-31-2016,N,,Utah,218801,"USD converted to Canadian equivalent at the December 31, 2016 rate of 1.3427. Payee includes State of Utah School & Institutional Trust Lands, Utah Department of Natural Resources, Utah Division of Air Quality, Utah Division of Wildlife Resources, Utah Land Trust, Utah State Tax Commission",
STATE OF UTAH,Crescent Point Energy Corp.,Bonuses,01-01-2016,12-31-2016,N,,Utah,339520,"USD converted to Canadian equivalent at the December 31, 2016 rate of 1.3427. Payee includes State of Utah School & Institutional Trust Lands, Utah Department of Natural Resources, Utah Division of Air Quality, Utah Division of Wildlife Resources, Utah Land Trust, Utah State Tax Commission",
STATE OF UTAH,Crescent Point Energy Corp.,Royalties,01-01-2016,12-31-2016,N,,Utah,437603,"USD converted to Canadian equivalent at the December 31, 2016 rate of 1.3427. Payee includes State of Utah School & Institutional Trust Lands, Utah Department of Natural Resources, Utah Division of Air Quality, Utah Division of Wildlife Resources, Utah Land Trust, Utah State Tax Commission",
STATE OF UTAH,Crescent Point Energy Corp.,Taxes,01-01-2016,12-31-2016,N,,Utah,4066697,"USD converted to Canadian equivalent at the December 31, 2016 rate of 1.3427. Payee includes State of Utah School & Institutional Trust Lands, Utah Department of Natural Resources, Utah Division of Air Quality, Utah Division of Wildlife Resources, Utah Land Trust, Utah State Tax Commission",
UINTAH COUNTY,Crescent Point Energy Corp.,Taxes,01-01-2016,12-31-2016,N,,Utah,2105025,"USD converted to Canadian equivalent at the December 31, 2016 rate of 1.342",
UTE INDIAN TRIBE,Crescent Point Energy Corp.,Fees,01-01-2016,12-31-2016,N,UTE INDIAN TRIBE,Utah,656405,"USD converted to Canadian equivalent at the December 31, 2016 rate of 1.3427. Payee includes Uintah & Ouray Agency, Ute Tribe",
UTE INDIAN TRIBE,Crescent Point Energy Corp.,Taxes,01-01-2016,12-31-2016,N,UTE INDIAN TRIBE,Utah,1637242,"USD converted to Canadian equivalent at the December 31, 2016 rate of 1.3427. Payee includes Uintah & Ouray Agency, Ute Tribe",
UTE INDIAN TRIBE,Crescent Point Energy Corp.,Bonuses,01-01-2016,12-31-2016,N,UTE INDIAN TRIBE,Utah,2188019,"USD converted to Canadian equivalent at the December 31, 2016 rate of 1.3427. Payee includes Uintah & Ouray Agency, Ute Tribe",
UTE INDIAN TRIBE,Crescent Point Energy Corp.,Royalties,01-01-2016,12-31-2016,N,UTE INDIAN TRIBE,Utah,6058550,"USD converted to Canadian equivalent at the December 31, 2016 rate of 1.3427. Payee includes Uintah & Ouray Agency, Ute Tribe",
Caldwell County Appraisal District,Eagle Energy Inc.,Taxes,01-01-2016,12-31-2016,N,,Texas,513052,NA,
Hardeman County,Eagle Energy Inc.,Taxes,01-01-2016,12-31-2016,N,,Texas,143352,"Tax Assessor Collector $190,000",
State of Texas,Eagle Energy Inc.,Taxes,01-01-2016,12-31-2016,N,,Texas,37724,"Texas Comptroller of Public Accounts - $1,680,000 including in-kind payments of $1,630,000. Railroad Commission of Texas - $400,000",
State of Texas,Eagle Energy Inc.,Fees,01-01-2016,12-31-2016,N,,Texas,301795,"Texas Comptroller of Public Accounts - $1,680,000 including in-kind payments of $1,630,000. Railroad Commission of Texas - $400,000",
State of Texas,Eagle Energy Inc.,Royalties,01-01-2016,12-31-2016,N,,Texas,1229817,"Texas Comptroller of Public Accounts - $1,680,000 including in-kind payments of $1,630,000. Railroad Commission of Texas - $400,000",
Boulder County,Encana Corporation,Royalties,01-01-2016,12-31-2016,N,,Colorado,90000,"Boulder County Treasurer, Boulder County Finance, Boulder County Parks and Open Space",
Boulder County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Colorado,1060000,"Boulder County Treasurer, Boulder County Finance, Boulder County Parks and Open Space",
City of Broomfield,Encana Corporation,Royalties,01-01-2016,12-31-2016,N,,Colorado,100000,City & County of Broomfield,
City of Broomfield,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Colorado,740000,City & County of Broomfield,
Garfield County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Colorado,28100000,"Garfield County Treasurer, Garfield County Clerk & Recorder, Garfield County Landfill",
Mesa County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Colorado,790000,Mesa County Treasurer,
Rio Blanco County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Colorado,2000000,Rio Blanco County Treasurer,
State of Colorado,Encana Corporation,Fees,01-01-2016,12-31-2016,N,,Colorado,770000,"Colorado Department of Revenue, Colorado Department of Public Health & Environment, Colorado Oil & Gas Conservation Commission, Colorado River Water Conservation District, Colorado State Board of Land Commissioners, State Department of Highways, State of Colorado Department Natural Resources, UTE Water Conservancy District, Clerk of the Combined Court Garnishment, Colorado Department of Transportation, Colorado Division of Reclamation, Mining and Safety.",
State of Colorado,Encana Corporation,Royalties,01-01-2016,12-31-2016,N,,Colorado,3590000,"Colorado Department of Revenue, Colorado Department of Public Health & Environment, Colorado Oil & Gas Conservation Commission, Colorado River Water Conservation District, Colorado State Board of Land Commissioners, State Department of Highways, State of Colorado Department Natural Resources, UTE Water Conservancy District, Clerk of the Combined Court Garnishment, Colorado Department of Transportation, Colorado Division of Reclamation, Mining and Safety.",
State of Colorado,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Colorado,5710000,"Colorado Department of Revenue, Colorado Department of Public Health & Environment, Colorado Oil & Gas Conservation Commission, Colorado River Water Conservation District, Colorado State Board of Land Commissioners, State Department of Highways, State of Colorado Department Natural Resources, UTE Water Conservancy District, Clerk of the Combined Court Garnishment, Colorado Department of Transportation, Colorado Division of Reclamation, Mining and Safety.",
Town of Firestone,Encana Corporation,Royalties,01-01-2016,12-31-2016,N,,Colorado,190000,NA,
Weld County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Colorado,45000000,"Weld County Treasurer, Weld County Clerk & Recorder",
U.S. Federal Government,Encana Corporation,Taxes,01-01-2016,12-31-2016,Y,,District of Columbia,1560000,"Bureau of Indian Affairs, Bureau of Land Management, Office of Surface Mining, Internal Revenue Service US Treasury, Office of Mineral Resources, Office of Natural Resources, Office of Surface Mining Reclamation and Enforcement, U.S. Department of Transportation",
U.S. Federal Government,Encana Corporation,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,1840000,"Bureau of Indian Affairs, Bureau of Land Management, Office of Surface Mining, Internal Revenue Service US Treasury, Office of Mineral Resources, Office of Natural Resources, Office of Surface Mining Reclamation and Enforcement, U.S. Department of Transportation",
U.S. Federal Government,Encana Corporation,Royalties,01-01-2016,12-31-2016,Y,,District of Columbia,20800000,"Bureau of Indian Affairs, Bureau of Land Management, Office of Surface Mining, Internal Revenue Service US Treasury, Office of Mineral Resources, Office of Natural Resources, Office of Surface Mining Reclamation and Enforcement, U.S. Department of Transportation",
St Helena Parish,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Louisiana,240000,Parish of St. Helena Tax Collector,
State of Louisiana,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Lousiana,1060000,Louisiana Department of Revenue,
State of Michigan,Encana Corporation,Fees,01-01-2016,12-31-2016,N,,Michigan,1000000,State of Michigan Department of Attorney General,
State of Mississippi,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Mississippi,1090000,"Mississippi Department of Revenue, Mississippi State Oil & Gas Board",
State of New Mexico,Encana Corporation,Royalties,01-01-2016,12-31-2016,N,,New Mexico,1110000,New Mexico State Taxation & Revenue Department,
State of New Mexico,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,New Mexico,5170000,New Mexico State Taxation & Revenue Department,
Andrews County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Texas,100000,"Andrews County Tax Assessor-Collector, Andrews Independent School District",
